,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
162,45C-R231,6,"CHI:        it's way back, way back at the office.",P,,
163,45C-R233,Judge,,,,
164,45C-R234,7,CHI:        way back at the office.,P,,
165,45C-R243,Old Woman,,,,
166,45C-R244,5,CHI:        lady.,L,,
167,45C-R245,Judge,,,,
168,45C-R246,8,CHI:        office.,P,,
169,45C-R247,9,CHI:        I'm pretty tricky.,I,,['tricky']
170,45C-R250,3,CHI:        bike.,L,,
171,45C-R251,Judge,,,,
172,45C-R252,10,CHI:        office.,P,,
173,45C-R254,4,CHI:        bike.,L,,
174,45C-R255,Judge,,,,
175,45C-R256,11,CHI:        office.,P,,
176,45C-R258,5,CHI:        bike.,L,,
177,45C-R259,Judge,,,,
178,45C-R260,12,CHI:        office.,P,,
179,55C-R14,King,,,,
180,55C-R16,1,CHI:        king.,L,,
181,55C-R18,2,"CHI:        I can do the very, I don't think I know anything about that one.",I,,['very']
182,55C-R70,Farmer,,,,
183,55C-R72,1,CHI:        gardener.,L,,
184,55C-R74,2,CHI:        I don't really think I have anything to tell about it.,I,,
185,55C-R88,Police Officer,,,,
186,55C-R90,1,CHI:        police officer.,L,,
187,55C-R93,3,CHI:        I can't.,I,,
188,55C-R104,Surfer,,,,
189,55C-R106,1,CHI:        diver.,L,,
190,55C-R108,2,"CHI:        it, swims.",F,,
191,55C-R110,3,CHI:        I don't think there's anything else.,I,,
192,55C-R128,Weightlifter,,,,
193,55C-R130,1,"CHI:        um, I don't know.",I,,
194,55C-R135,4,CHI:        giant maybe.,L,giant,['giant']
195,61C-R80,Surfer,,,,
196,61C-R82,1,CHI:        surfing.,L,,
197,61C-R84,2,CHI:        there's a man surfing.,P,,
198,61C-R85,3,CHI:        but be careful not to go &=motions:hands_falling_over.,F+I,,['careful']
199,61C-R86,4,CHI:        but don't surf upside down.,F+I,,
200,61C-R88,5,CHI:        (be)cause that'll be too dangerous.,F+I,,['dangerous']
201,61C-R89,6,CHI:        you'll fall off your surfer.,F,,
202,61C-R91,8,CHI:        you'll have to try and swim up.,F,,
203,61C-R92,9,"CHI:        but if you don't know how to swim and you're trying to surf and you fall in deep water, that won't be good.",F,,"['deep', 'good']"
204,61C-R94,10,CHI:        then the teacher who's teaching you will have to go whoosh,F,,
205,61C-R96,11,CHI:        and come in and get you out.,F,,
206,61C-R106,18,"CHI:        hm, well, you better watch out for too big of a wave or a shark.",F+I,,['big']
207,61C-R107,19,CHI:        because sharks can come right up and getcha.,F+I,,
208,61C-R110,21,CHI:        (be)cause they (be)cause when there's a shark comin(g) for ya you,F,,
209,61C-R112,22,CHI:        and sw- and surf right away and jump onto the shore (be)cause shar + ...,F,,
210,61C-R114,24,CHI:        and some divers bring blasters along and then blast the shark down.,F,,
211,61C-R116,25,CHI:        that's attacking them.,F,,
212,61C-R135,Farmer,,,,
213,61C-R137,1,CHI:        a picture.,P,,
214,61C-R139,2,CHI:        uh it's of a farmer who's a girl.,L+P,,
215,61C-R140,3,"CHI:        who's carrying a basket of all of tomatoes, carrots and, pumpkin.",P,,
216,61C-R221,King,,,,
217,61C-R223,1,CHI:        king.,L,,
218,61C-R225,2,CHI:        uh he wears a nice neat crown.,P,,"['nice', 'neat']"
219,61C-R233,6,CHI:        uh a king has a c- lives in a castle.,F+L,,
220,61C-R234,7,CHI:        and he has knights that battle dragons.,F,,
221,61C-R235,8,CHI:        so dragons do not battle kings.,F+L,,
222,61C-R236,9,CHI:        because kings do not battle.,F+L,,
223,61C-R238,10,"CHI:        but, strong magic kings do.",F+L,,"['strong', 'magic']"
224,61C-R239,11,"CHI:        because they have, magic kings can battle dragons because magic kings have magical power.",F+L,,"['magic', 'magic', 'magical']"
225,61C-R326,Police Officer,,,,
226,61C-R327,1,CHI:        that's a police woman.,L,,
227,61C-R329,2,CHI:        a police woman drives a police car or a police van.,P+L,,
228,61C-R330,3,"CHI:        or a police SUV, okay?",F,,['okay']
229,61C-R334,4,CHI:        they use                   [guns].,F,,
230,61C-R335,5,CHI:        and bats to wack things.,F,,
231,61C-R336,6,CHI:        and they wear-xxx radio and their flashlights.,P,,
