,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
907,36C-R142,3,"CHI:        so that's why, she needs to do it.",I+P,,
908,36C-R147,5,CHI:        you you need to paint by yourself now.,I+F,,
909,36C-R149,baby,,,,
910,36C-R150,1,CHI:        baby.,L,,
911,36C-R155,2,CHI:        well if the baby cries and wants some breakfast she say wah.,L+F+P,,
912,36C-R157,3,CHI:        you gotta cry like a baby [= talking to Zorg].,I+F+L,,
913,36C-R158,4,CHI:        this is a funny one.,I,funny,['funny']
914,36C-R234,pirate,,,,
915,36C-R235,1,CHI:        a pirate.,L,,
916,36C-R237,2,CHI:        and he likes to get treasure.,I+F,,
917,36C-R243,5,CHI:        you need xxx to be a pirate.,I+L,,
918,39C-R1,king,Speech,,,
919,39C-R7,3,"CHI:        well, I don't know anything about kings.",I+L,,
920,39C-R9,5,CHI:        don't know anything about kings.,L,,
921,39C-R13,8,CHI:        it took a hard time to shape the crown out and like get all the well +...,I+P,,['hard']
922,39C-R14,9,CHI:        it it took it took a hard time to find the clothes and this and the treasure [?] like.,I+P,,['hard']
923,39C-R17,farmer,,,,
924,39C-R48,police officer,,,,
925,39C-R50,1,CHI:        &=whispers police officer.,L,,
926,39C-R55,2,CHI:        um see these are so that you can hear the police officer.,P+F+L,,
927,39C-R56,3,CHI:        so he can talk.,F,,
928,39C-R57,4,CHI:        and like it can get bad guys.,F,,['bad']
929,39C-R58,5,CHI:        and like I heard somebody being a bad guy and didn't want to be a bad guy anymore.,I,,"['bad', 'bad']"
930,39C-R59,6,CHI:        sent a card of apology.,I,,
931,39C-R61,7,CHI:        and sent back his money.,I,,
932,39C-R64,9,CHI:        uh well you see they rob pe-bad people.,F,,['bad']
933,39C-R65,10,CHI:        they take xxx well on Scooby_Doo.,I,,
934,39C-R66,11,CHI:        on one Scooby_Doo one time xxx house they were giving all the money to Scooby_Doo.,I,,
935,39C-R68,12,"CHI:        and that one was like, was like “You spent a night in a haunted house that wasn't even haunted”.",I,,"['haunted', 'haunted']"
936,39C-R69,13,CHI:        ridiculous.,I,,['ridiculous']
937,39C-R72,14,CHI:        you spent a night in a haunted house that wasn't even ⌊haunted⌋.,I,,
938,39C-R178,weightlifter,,,,
939,39C-R180,1,CHI:        a strong man.,L,strong,['strong']
940,39C-R182,2,"CHI:        well, this reminds me of the Incredibles.",I,,
941,39C-R184,3,CHI:        I watched them at my friend's house two times.,I,,
942,39C-R186,4,CHI:        like at the end Jack-Jack gets mad at the bad guy and like turns and xxx like a bad baby.,I,,"['mad', 'bad', 'bad']"
943,39C-R187,5,CHI:        and like he takes one of his things off.,I,,
944,39C-R188,6,"CHI:        and he was like, and the guy was like scared.",I,,['scared']
945,39C-R190,7,CHI:        then xxx Mister Incredible married Elastigirl and like was one guy like Dash.,I,,
946,39C-R191,8,CHI:        he's the fastest.,I,fastest,['fastest']
947,39C-R192,9,CHI:        and he's like even faster than regular humans.,I,faster,"['faster', 'regular']"
948,39C-R252,surfer,,,,
949,39C-R253,1,CHI:        I know surfing [?].,I,,
950,39C-R254,2,"CHI:        don't go on that because like, a shark will like come up and eat you.",I,,
951,39C-R255,3,CHI:        and like xxx you with kickboards in the ocean.,I+P,,
952,39C-R257,4,CHI:        because they will like get eaten by a shark.,I,,
953,39C-R258,5,CHI:        so like don't do that.,I,,
954,39C-R260,6,CHI:        well you see don't go swimming with that because Mom doesn't want ta- doesn't want people to get eaten by a shark.,I,,
955,39C-R262,7,CHI:        so like just don't do it.,I,,
