Participant ID,Referent,Speech,Feature,Adjectives SpaCy,
6C-R8,3,"CHI: ⌊does⌋, does does is um what's his name again?",NA,,
6C-R10,4,CHI: what's his name again?,NA,,
6C-R12,5,CHI: zorg does Zorg know anything about this?,NA,,
44C-R1,7,CHI:        the crab is a crab.,,,
6C-R53,1,CHI: I think xxx Zorg xxx.,NA,,
44C-R1,Penguin,,,,
44C-R1,1,CHI:        a penguin.,,,
44C-R1,2,CHI:        the penguin swims when it's cold.,,cold,
6C-R121,1,CHI: what's that?,NA,,
44C-R1,3,CHI:        the penguin likes swimming in the water when it's cold outside.,,cold,
5C-R1,Butterfly,,,,
5C-R1,1,CHI:        ladybug.,T,,
5C-R1,2,CHI:        and they fly.,F,,
5C-R1,3,CHI:        fly fast.,F+I,,
5C-R1,4,CHI:        maybe that's not a ladybug.,T,,
5C-R1,6,CHI:        they fly.,F,,
5C-R1,7,CHI:        and what are those things for &=points:page?,F,,
5C-R1,Dolphin,,,,
6C-R253,6,CHI: yeah.,NA,,
5C-R1,1,CHI:        a dolphin.,L,,
5C-R1,2,CHI:        they swim in the [?] oceans.,P,,
12C-R27,1,CHI:        painting.,AE(L),,
12C-R29,2,"CHI:        you paint uh trees, uh waterslides birds hey that's what I have.",P+AE(L)+F+I,,
5C-R1,Skunk,,,,
12C-R33,5,CHI:        xxx.,NA,,
12C-R38,6,CHI:        &=shrugs.,NA,,
5C-R1,1,CHI:        yuck!,I,,
5C-R1,2,"CHI:        that's a, those, those things stink &=pinches:nose.",P,,
5C-R1,3,CHI:        yeah (be)cause they're skunks.,L,,
5C-R1,4,CHI:        well they really stink bad.,P,bad,
12C-R90,6,CHI:        this guy &=pointing:to_Zorg?,NA,,
12C-R92,7,CHI:        okay.,NA,,
5C-R1,5,CHI:        well they stink bad.,P,,
5C-R1,6,CHI:        ew.,I,,
12C-R226,3,CHI:        let me think.,NA,,
5C-R1,7,CHI:        yuck.,I,,
12C-R229,5,CHI:        I don't know my xxx.,NA,,
12C-R231,6,CHI:        probably you think.,NA,,
12C-R235,8,CHI:        probably xxx.,NA,,
12C-R282,1,CHI:        treasure.,AE(L),,
12C-R284,2,"CHI:        uh, you find treasure.",AE(F)+AE(L),,
12C-R285,3,CHI:        there's quarters in treasure.,AE(P)+AE(L),,
12C-R287,4,"CHI:        and, dollars.",AE(P),,
12C-R288,5,CHI:        um you have a key in it.,AE(P),,
12C-R289,6,CHI:        there's jewelry in it.,AE(P),,
12C-R291,7,"CHI:        um, it's a treasure chest.",AE(L),,
5C-R1,8,CHI:        fuzzy tails.,P,fuzzy,
5C-R1,9,CHI:        do these ones hunt for food?,F,,
5C-R1,Cat,,,,
5C-R1,1,CHI:        kitty.,L,,
5C-R1,2,CHI:        I love kitties you know.,I+L,,
5C-R1,3,CHI:        kitties.,L,,
5C-R1,4,CHI:        I love kitties you know.,I+L,,
16C-R61,8,"CHI:        they're royal, but I think I know.",NA,,
5C-R1,5,CHI:        kitties are soft and furry.,P+L,"soft
furry",
5C-R1,6,CHI:        they like cat food.,F,,
5C-R1,Parrot,,,,
5C-R1,1,CHI:        a parrot.,L,,
5C-R1,2,CHI:        I love parrot parrots the most.,I+L,,
5C-R1,4,CHI:        parrots need to be on sticks.,P+L,,
16C-R123,5,CHI:        yeah I'm trying my best.,NA,,
5C-R1,5,CHI:        when they're hungry they come off of the sticks and eat.,F,,
16C-R126,7,CHI:        I think that's all about the man.,NA,,
16C-R128,8,CHI:        oh sorry Zorg.,NA,,
16C-R129,9,CHI:        I just flipped him in the nose.,NA,,
16C-R157,1,CHI:        okay.,NA,,
16C-R169,2,CHI:        oh yeah.,NA,,
5C-R1,6,CHI:        and they got beaks.,P,,
5C-R1,7,CHI:        you see &=points:picture?,NA,,
16C-R176,1,CHI:        it's a painting.,NA,,
16C-R178,2,CHI:        the painting has vegetables in it and and a farmer.,AE(T)+L,,
16C-R179,3,CHI:        and and a gate and grass and and a barn and and a her [?] house.,AE(L),,
16C-R181,4,CHI:        and and a pumpkin and carrots.,AE(L),,
16C-R182,5,CHI:        and and and tomatoes and lettuce.,AE(L),,
16C-R183,6,CHI:        and and a pumpkin.,AE(L),,
16C-R185,7,CHI:        that's just all [?].,NA,,
5C-R1,8,CHI:        and what's that on top it's head?,P,,
5C-R1,9,CHI:        I think hair.,P,,
22C-R1,Puppy,,,,
22C-R1,1,CHI: a bear.,L,,
22C-R1,2,CHI: um it's a baby.,P,,
22C-R1,3,CHI: it's just standing there.,P,,
22C-R1,Pig,,,,
27C-R86,4,"CHI:        yeah but anyway, it's like a long stick that's made out of metal and that like has big black balls like bowling balls except their hard and they're heavier.",AE(P)+AE(T),,
27C-R88,5,"CHI:        and I really, and they they make you strong.",AE(F),,
22C-R1,1,CHI: a pig.,L,,
22C-R1,2,CHI: they showed this um last night on food ⌊network⌋.,I+F,,
27C-R122,3,CHI:        no.,NA,,
22C-R1,3,CHI: about pigs.,L,,
22C-R1,4,"CHI: you can make um a ceramic um, cooker.",I,ceramic,
22C-R1,5,CHI: you just have to do two it's um actually a barbeque that's ceramic.,I,,
22C-R1,6,CHI: you make it have you take it far apart.,I,,
22C-R1,7,CHI: you put something that makes heat in then you put um the pot in then you put the rack you put another fire pot on and then you put a thermometer.,I,,
27C-R163,6,CHI:        yeah.,NA,,
22C-R1,Duck,,,,
22C-R1,1,CHI: a duck.,L,,
22C-R1,2,CHI: ducks have these feet to help them walk.,L+P+F,P,
22C-R1,3,CHI: and and something in Eqypt there are ducks in this restaurant called xxx and I throw bread to the ⌊ducks⌋.,I+L+F,A,
22C-R1,Ladybug,,,,
22C-R1,1,CHI: a ladybug.,L,,
22C-R1,2,CHI: it has legs to help it crawl.,P+F,P,
22C-R1,3,CHI: this is a ladybug.,L,,
22C-R1,Turtle,,,,
27C-R244,5,CHI:        right?,NA,,
27C-R245,6,CHI:        right?,NA,,
22C-R1,1,CHI: a turtle.,L,,
22C-R1,2,CHI: it has claws.,P,,
22C-R1,3,CHI: there's a big tortoise that walks on land.,L+P+F,big,
22C-R1,4,CHI: it's called Franklin.,I,,
22C-R1,5,CHI: it's a huge tortoise.,L+P,huge,
22C-R1,6,CHI: it's almost as big as that whole couch.,P+T,whole,
31C-R8,3,"CHI:        hm, um, uh, I'm not sure of what else I should tell him.",NA,,
31C-R14,5,CHI:        hm.,NA,,
31C-R16,6,CHI:        I don't actually know.,NA,,
22C-R1,7,CHI: zorg this is a turtle.,L,,
36C-R1,Turtle ,,,,
36C-R1,1,CHI:        um a turtle.,L,,
36C-R1,2,CHI:        he can go underwater.,F,,
31C-R34,15,CHI:        it she's always pulling my chair out.,NA,,
31C-R36,16,CHI:        I don't actually know anything about that one.,NA,,
36C-R1,3,CHI:        he can swim.,F,,
36C-R1,4,CHI:        and he's got a shell.,P,,
36C-R1,5,CHI:        and he can go inside it.,F,,
36C-R1,6,CHI:        so he won't be afraid of anything.,I,,
31C-R119,1,CHI:        hm.,NA,,
31C-R124,4,CHI:        I don't know.,NA,,
31C-R129,7,CHI:        I don't actually know anything.,NA,,
31C-R132,8,CHI:        I don't actually know much about it either.,NA,,
31C-R133,9,CHI:        I don't actually I actually I don't know anything about it.,NA,,
31C-R135,10,CHI:        I don't actually know what I I don't actually know anything about about this one either.,NA,,
31C-R136,11,CHI:        I don't know anything.,NA,,
31C-R137,12,CHI:        I don't actually really know.,NA,,
36C-R1,7,CHI:        well you know what?,NA,,
36C-R1,8,CHI:        he gotta learn to swim underwater with the turtle and the fish and a crab.,I+L+T+F,,underwater???
36C-R1,9,"CHI:        I can, I can go underwater at my grandma's beach.",I,,
31C-R197,2,CHI:        drives the plane.,P+AE(P),,
31C-R201,4,CHI:        I don't know.,NA,,
36C-R1,10,CHI:        but I can't go in the deep water.,I,deep,
37C-R52,1,CHI:        uh oh.,NA,,
36C-R1,11,CHI:        (be)cause that scares me and my brother.,I,,
37C-R56,3,CHI:        a truck I ⌊think⌋.,AE(L),,
37C-R57,4,CHI:        what kind of truck is this?,AE(T),,
37C-R60,5,CHI:        ⌊<like a> [?]⌋ +...,NA,,
37C-R61,6,CHI:        like a police truck.,AE(T)+AE(L),,
36C-R1,12,CHI:        and I but turtles and crabs can.,L+T+F,,
36C-R1,13,CHI:        I got goggles to see.,I,,
36C-R1,14,CHI:        and they're pretty and they're green.,I+P,"pretty 
green",
36C-R1,15,CHI:        I like them all.,I,,
37C-R80,16,CHI:        yeah.,NA,,
36C-R1,16,CHI:        so that's what turtles are all about.,L,,
37C-R82,18,CHI:        huh.,NA,,
36C-R1,pig,,,,
36C-R1,1,CHI:        pig.,L,,
37C-R86,21,CHI:        then there will be no +...,NA,,
36C-R1,2,CHI:        pig.,L,,
36C-R1,3,CHI:        he's a cow pig.,T,,
36C-R1,4,CHI:        see the spots?,P,,
36C-R1,5,CHI:        xxx cow pig.,T,,
37C-R94,27,CHI:        you know we had a yucky green day out day and and it was raining.,NA,,
37C-R95,28,CHI:        and hail hail come down <like that> [?].,NA,,
37C-R97,29,CHI:        we're gonna go on a vacation.,NA,,
37C-R98,30,CHI:        like at the beach.,NA,,
37C-R100,31,CHI:        and we go to the store and buy stuff for it.,NA,,
37C-R102,32,CHI:        we have six more days.,NA,,
37C-R104,33,CHI:        what else is about this?,NA,,
36C-R1,6,CHI:        cow pigs do like this &=snorts.,T+P,,
37C-R108,36,CHI:        and get the bad guys and pull it out of the sand and take it to its truck.,F+AE(F),,
37C-R111,38,CHI:        yeah.,NA,,
37C-R112,39,"CHI:        that's, what I know.",NA,,
36C-R1,7,CHI:        they make funny noises.,P+F,,
37C-R183,2,CHI:        he can lift up this.,F+AE(F),,
36C-R1,8,CHI:        you gotta learn to snort like a pig &=snorts.,I+P+L,,
36C-R1,duck,,,,
36C-R1,1,CHI:        that's a duck.,L,,
36C-R1,2,CHI:        I can sound like a duck.,I+L+F,,
36C-R1,3,CHI:        quack quack.,P,,
37C-R199,10,CHI:        yeah.,NA,,
37C-R200,11,CHI:        okay.,NA,,
37C-R201,12,CHI:        why was he in the box?,NA,,
37C-R203,13,CHI:        that's his home?,NA,,
37C-R205,14,CHI:        he lives in a box?,NA,,
37C-R207,15,CHI:        I know a pig that lives in a box.,NA,,
37C-R209,16,CHI:        some pigs do that can talk.,NA,,
37C-R211,17,CHI:        yeah.,NA,,
37C-R212,18,CHI:        I saw one on a on tv at our house.,NA,,
37C-R213,19,CHI:        we live at xxx [= city].,NA,,
37C-R214,20,CHI:        right next to that xxx.,NA,,
37C-R216,21,"CHI:        and we have a next neighbors name is, there's Firstname, Firstname and Firstname.",NA,,
37C-R217,22,CHI:        um but that's all that I know.,NA,,
36C-R1,4,CHI:        well if this duck learns how to quack he can quack like this.,L+F+P,,
36C-R1,5,CHI:        quack Quack.,P,,
36C-R1,6,CHI:        so he's a good duck &=makes:Zorg_quack.,I+L,good,
36C-R1,7,CHI:        you already know how to quack like a duck now quack,I+F+L+P,,
37C-R235,6,"CHI:        yeah, they do.",NA,,
36C-R1,8,CHI:        well if [?] you have to quack like a duck.,I+P+L,,
37C-R251,2,CHI:        that's all that I +...,NA,,
36C-R1,9,CHI:        quack.,P,,
